"Object Storage Settings","对象存储设置"
"Object Storage Profile","对象存储配置档"
"Object Restore Request","对象恢复请求"
"Object Storage Retention Rule","对象存储保留规则"
"Object Storage Restore Role","对象存储恢复角色"
"Setup Guide","配置向导"
"Setup Progress","配置进度"
"Final Confirmation","最终确认"
"Attachments","附件"
"Cold Backups","冷备份"
"Retention Classification","保留分类"
"Archive Restore","归档恢复"
"Profile Name","配置档名称"
"Enabled","已启用"
"Provider","服务提供商"
"Purpose","用途"
"Environment","环境"
"Credentials","凭证"
"Credential Mode","凭证模式"
"Access Key ID","AccessKey ID"
"Access Key Secret","AccessKey Secret"
"RAM Role Name","RAM 角色名称"
"Region and Endpoint","地域与 Endpoint"
"Region","地域"
"Use Internal Endpoint","使用内网 Endpoint"
"Endpoint URL","Endpoint 地址"
"Addressing Style","寻址方式"
"Bucket and Object Keys","Bucket 与对象 Key"
"Bucket","Bucket"
"Prefix","前缀"
"Server-side Encryption","服务端加密"
"Safety Confirmation","安全确认"
"I Confirm the Bucket Is Private","我确认 Bucket 为私有"
"I Confirm Block Public Access Is Enabled","我确认已开启 Block Public Access"
"Last Full Test Status","最近一次完整测试状态"
"Last Tested At","最近测试时间"
"Last Test Details","最近测试详情"
"Enable Attachment Object Storage","启用附件对象存储"
"Attachment Storage Profile","附件存储配置档"
"Proxy Downloads Through Frappe","通过 Frappe 代理下载"
"Enable Range Requests","启用 Range 分段请求"
"Delete Object After Last File Reference","最后一个文件引用删除后再删除对象"
"Enable Backup Object Storage","启用备份对象存储"
"Backup Storage Profile","备份存储配置档"
"Upload Database Backup","上传数据库备份"
"Upload Public Files Backup","上传公共文件备份"
"Upload Private Files Backup","上传私有文件备份"
"Backup Schedule (Cron)","备份计划（Cron）"
"Delete Local Backup After Successful Upload","上传成功后删除本地备份"
"Application Backup Retention (Days)","应用侧备份保留天数"
"Last Backup Sync","最近备份同步时间"
"Recommended Provider Lifecycle","建议的云端生命周期"
"Move to IA After (Days)","多少天后转 IA"
"Move to Archive After (Days)","多少天后转 Archive"
"Move to Cold Archive After (Days)","多少天后转 Cold Archive"
"Delete After (Days)","多少天后删除"
"Provider Lifecycle Rule Reviewed","已复核云端生命周期规则"
"Enable Automatic Classification","启用自动分类"
"Default Retention Policy","默认保留策略"
"Allow Manual File Override","允许在 File 上手工覆盖"
"Retention Rules","保留规则"
"Enable Archive Restore Requests","启用归档恢复请求"
"Allow Self-service Restore","允许自助恢复"
"Allowed Restore Roles","允许恢复的角色"
"Restored Copy Availability (Days)","恢复副本可用天数"
"Restore Tier","恢复速度等级"
"Restore Check Interval (Minutes)","恢复状态检查间隔（分钟）"
"System Notifications","系统通知"
"Email Notifications","邮件通知"
"Restore Retry Limit","恢复重试上限"
"RAM Policies Reviewed and Attached","已复核并绑定 RAM 策略"
"Restore Drill Completed","已完成恢复演练"
"New Attachment Profile","新建附件配置档"
"New Backup Profile","新建备份配置档"
"Profile","配置档"
"Disabled","已禁用"
"Ready","就绪"
"Test Failed","测试失败"
"Test Required","需要测试"
"Retention Override By","保留策略覆盖人"
"Retention Override At","保留策略覆盖时间"
"Request Archive Restore","请求归档恢复"
"Object Storage","对象存储"
"Apply Jakarta ECS Defaults","应用雅加达 ECS 默认值"
"Jakarta internal endpoint defaults applied.","已应用雅加达内网 Endpoint 默认值。"
"Run Full Read/Write Test","运行完整读写测试"
"Generate RAM Policy","生成 RAM 策略"
"Alibaba Cloud","阿里云"
"Test","测试"
"Running credential, upload, download, tag, and delete tests...","正在测试凭证、上传、下载、标签和删除……"
"Full Read/Write Test","完整读写测试"
"Least-privilege RAM Policy","最小权限 RAM 策略"
"Policy Name","策略名称"
"Policy JSON","策略 JSON"
"Copy Policy JSON","复制策略 JSON"
"Policy JSON copied.","策略 JSON 已复制。"
"Open OSS Console","打开 OSS Console"
"Open RAM Console","打开 RAM Console"
"Open ECS Console","打开 ECS Console"
"Run Backup Now","立即运行备份"
"Backup","备份"
"Creating and uploading the backup...","正在创建并上传备份……"
"Backup upload completed.","备份上传已完成。"
"Backup upload did not complete. Check S3 Sync Log.","备份上传未完成，请检查 S3 Sync Log。"
"For an International Alibaba Cloud account, keep console menu names in English and follow the steps in order.","国际阿里云账号请按顺序操作；为便于对应控制台，菜单名称保留英文。"
"Open Console","打开控制台"
"How to do it","操作方法"
"Expected result","预期结果"
"If it fails","失败排查"
"Not Started","未开始"
"Pending","待完成"
"Passed","已通过"
"Warning","警告"
"Failed","失败"
"Create Attachment Bucket","创建附件 Bucket"
"Create Backup Bucket","创建备份 Bucket"
"Make Buckets Private and Enable Block Public Access","将 Bucket 设为私有并开启 Block Public Access"
"Generate and Review RAM Policies","生成并复核 RAM 策略"
"Create an ECS RAM Role and Attach Policies","创建 ECS RAM Role 并绑定策略"
"Bind the RAM Role to the Jakarta ECS Instance","将 RAM Role 绑定到雅加达 ECS"
"Use the Jakarta Internal Endpoint","使用雅加达内网 Endpoint"
"Run Full Read/Write Tests","运行完整读写测试"
"Configure the Backup Lifecycle Rule","配置备份生命周期规则"
"Complete a Restore Drill","完成恢复演练"
"Enable Production Features","启用生产功能"
"In OSS Console, open Buckets > Create Bucket. Select Indonesia (Jakarta), use Standard storage, and set ACL to Private. Create a dedicated attachment bucket, then create an Attachments profile here.","在 OSS Console 打开 Buckets > Create Bucket；选择 Indonesia (Jakarta)，存储类型选 Standard，ACL 选 Private。创建专用附件 Bucket，然后在本系统创建用途为 Attachments 的配置档。"
"The bucket appears in Indonesia (Jakarta) and the profile purpose is Attachments.","Bucket 位于 Indonesia (Jakarta)，配置档用途为 Attachments。"
"If the bucket is not visible, confirm that you signed in to the International Alibaba Cloud console and selected the Jakarta region.","如果看不到 Bucket，请确认登录的是国际阿里云控制台，并选择了 Jakarta 地域。"
